"","chromosome_name","start_position","end_position","hgnc_symbol"
"1","19",58345178,58353492,"A1BG"
"2","12",8822621,8887001,"A2ML1"
"3","1",33306766,33321098,"A3GALT2"
"4","CHR_HSCHR3_1_CTG2_1",151744454,151770036,"AADACL2"
"5","3",151733916,151761339,"AADACL2"
"6","15",67200667,67255195,"AAGAB"
"7","11",106075501,106098699,"AASDHPPT"
"8","7",48171458,48647497,"ABCA13"
"9","9",137007234,137028915,"ABCA2"
"10","16",2275881,2340746,"ABCA3"
"11","17",68974488,69060949,"ABCA9"
"12","17",50634777,50692253,"ABCC3"
"13","2",43831942,43882988,"ABCG8"
"14","7",73736094,73738852,"ABHD11"
"15","18",21650901,21704780,"ABHD3"
"16","3",58237532,58295693,"ABHD6"
"17","19",17292131,17310236,"ABHD8"
"18","17",49210411,49223225,"ABI3"
"19","CHR_HSCHR17_3_CTG2",1003519,1116206,"ABR"
"20","CHR_HSCHR17_2_CTG2",1003519,1192547,"ABR"
"21","17",1003519,1229738,"ABR"
"22","8",106759483,106770244,"ABRA"
"23","11",34150987,34358010,"ABTB2"
"24","1",75724431,75787575,"ACADM"
"25","12",120725774,120740008,"ACADS"
"26","CHR_HG2087_PATCH",7339566,7354514,"ACAP1"
"27","17",7336529,7351477,"ACAP1"
"28","6",159762045,159779112,"ACAT2"
"29","11",44065925,44084237,"ACCS"
"30","17",63477061,63498380,"ACE"
"31","9",19409009,19452505,"ACER2"
"32","11",76860859,77026797,"ACER3"
"33","2",236567787,236582354,"ACKR3"
"34","14",73567620,73575658,"ACOT2"
"35","14",73591873,73595766,"ACOT4"
"36","20",45841721,45857405,"ACOT8"
"37","X",23701055,23766475,"ACOT9"
"38","12",6638075,6647433,"ACRBP"
"39","15",78167468,78245688,"ACSBG1"
"40","17",50426158,50474845,"ACSF2"
"41","5",131949973,132012243,"ACSL6"
"42","16",20623235,20698890,"ACSM1"
"43","20",34872146,34927962,"ACSS2"
"44","10",88935074,88991339,"ACTA2"
"45","5",57480018,57482811,"ACTBL2"
"46","2",73892314,73919865,"ACTG2"
"47","7",100643097,100656448,"ACTL6B"
"48","9",108854588,108855986,"ACTL7B"
"49","19",8697400,8698795,"ACTL9"
"50","20",38748460,38772520,"ACTR5"
"51","12",100199122,100241865,"ACTR6"
"52","1",3021467,3022903,"ACTRT2"
"53","3",38453890,38493142,"ACVR2B"
"54","12",51906908,51923361,"ACVRL1"
"55","20",44584896,44652252,"ADA"
"56","1",155050566,155062775,"ADAM15"
"57","5",157395534,157575775,"ADAM19"
"58","14",70522358,70535015,"ADAM20"
"59","14",70417107,70460427,"ADAM21"
"60","CHR_HSCHR8_9_CTG1",39106990,39284943,"ADAM32"
"61","8",39106990,39284917,"ADAM32"
"62","CHR_HSCHR8_9_CTG1",39101863,39105144,"ADAM9"
"63","8",38996754,39105445,"ADAM9"
"64","12",43353866,43552203,"ADAMTS20"
"65","3",64515654,64688000,"ADAMTS9"
"66","19",1505022,1513604,"ADAMTSL5"
"67","6",143422832,143450695,"ADAT2"
"68","14",77800109,77935014,"ADCK1"
"69","1",167809386,167914215,"ADCY10"
"70","5",7396138,7830081,"ADCY2"
"71","2",24819169,24920237,"ADCY3"
"72","16",50246137,50318135,"ADCY7"
"73","8",142449430,142545009,"ADGRB1"
"74","2",26308173,26346817,"ADGRF3"
"75","16",57542643,57591681,"ADGRG5"
"76","10",74151202,74709963,"ADK"
"77","3",119579268,119589945,"ADPRH"
"78","8",26748150,26867278,"ADRA1A"
"79","20",4220630,4249287,"ADRA1D"
"80","6",11712054,11807046,"ADTRP"
"81","12",19404045,19720801,"AEBP2"
"82","4",7758714,7939926,"AFAP1"
"83","17",78187358,78207702,"AFMID"
"84","2",235494043,236131793,"AGAP1"
"85","CHR_HG2114_PATCH",47664132,47719930,"AGBL2"
"86","11",47659591,47715389,"AGBL2"
"87","1",230690776,230745576,"AGT"
"88","X",116170744,116174974,"AGTR2"
"89","1",11736084,11754802,"AGTRAP"
"90","20",34280268,34311802,"AHCY"
"91","6",135283407,135498434,"AHI1"
"92","3",186613060,186621318,"AHSG"
"93","1",222668013,222713210,"AIDA"
"94","4",106315544,106349456,"AIMP1"
"95","9",136842478,136848801,"AJM1"
"96","1",33007986,33080996,"AK2"
"97","CHR_HSCHR5_2_CTG1_1",69350995,69370027,"AK6"
"98","5",69350984,69370013,"AK6"
"99","17",57085092,57121346,"AKAP1"
"100","6",131135467,131283535,"AKAP7"
"101","11",8911139,8920084,"AKIP1"
"102","CHR_HSCHR1_3_CTG32_1",243488233,243855434,"AKT3"
"103","1",243488233,243851079,"AKT3"
"104","16",53491040,53504411,"AKTIP"
